Tag,Category,PlainLanguage
environment,Subject Matter,Environment
public_health,Subject Matter,Public Health
criminal_justice,Subject Matter,Criminal Justice
education,Subject Matter,Education
transportation,Subject Matter,Transportation
emergency_relief,Subject Matter,Emergency Relief
international_development,Subject Matter,International Development
energy,Subject Matter,Energy
measurement_and_evaluation,Subject Matter,Measurement & Evaluation
budgeting_and_finance,Subject Matter,Budgeting & Finance
survey_data,Subject Matter,Survey Data
data_quality,Subject Matter,Data Quality
risk_and_uncertainty,Subject Matter,Risk & Uncertainty
automated_reporting,Technical Capabilities,Automated Reporting
scientific_and_technical_illustration,Technical Capabilities,Scientific & Technical Illustration
other_illustration,Technical Capabilities,Other Illustration
graphic_design,Technical Capabilities,Graphic Design
report_layout,Technical Capabilities,Report Layout
presentation_design,Technical Capabilities,Presentation Design
professional_editing,Technical Capabilities,Professional Editing
web_development,Technical Capabilities,Web Development
data_modeling,Technical Capabilities,Data Modeling
dashboards,Technical Capabilities,Dashboards
data_storytelling,Technical Capabilities,Data Storytelling
custom_code,Technical Capabilities,Custom Code
scrollytelling,Technical Capabilities,Scrollytelling
r_shiny,Technical Capabilities,R Shiny
tableau,Technical Capabilities,Tableau
data_communication,Services,Data Communication
visual_explanation,Services,Visual Explanation
information_dashboards,Services,Information Dashboards
